URL,Response Code,News Error,Detected,Category
http://www.tescoentertainment.com/store/mp3/queen-absolute-greatest/2%3A34187865/,404,,1/23/12,Not found
http://www.tescoentertainment.com/tesco/10032296.product,404,,2/13/12,Not found
http://www.tescoentertainment.com/store/artist/jayz/p%3A165965/,410,,3/3/12,Not found
http://www.tescoentertainment.com/store/artist/oasis/p%3A35682/,410,,2/4/12,Not found
http://www.tescoentertainment.com/tesco/10042547.product,404,,2/11/12,Not found
http://www.tescoentertainment.com/store/artist/fleetwood-mac/p%3A3627/,404,,2/12/12,Not found
http://www.tescoentertainment.com/store/dvd/kung-fu-panda-secrets-of-the-furious-five/8%3A697144/,404,,12/4/11,Not found
http://www.tescoentertainment.com/store/artist/susan-boyle/p%3A1091883/,410,,2/7/12,Not found
http://www.tescoentertainment.com/store/artist/newton-faulkner/p%3A791717/,410,,2/5/12,Not found
http://www.tescoentertainment.com/store/artist/girls-aloud/p%3A508317/,410,,3/2/12,Not found
http://www.tescoentertainment.com/tesco/84085.product,404,,11/6/11,Not found
http://www.tescoentertainment.com/store/games/-battlefield-3-limited-edition/8%3A736650/,404,,12/16/11,Not found
http://www.tescoentertainment.com/store/games/platformps3-resident-evil-operation-raccoon-city/8%3A777110,404,,3/18/12,Not found
http://www.tescoentertainment.com/store/artist/far-east-movementthe-cataracsdev/p%3A768818/,410,,3/3/12,Not found
http://www.tescoentertainment.com/store/artist/elaine-paige/p%3A145557/,410,,2/7/12,Not found
http://www.tescoentertainment.com/store/artist/bruce-springsteen/p%3A4735/,410,,3/8/12,Not found
http://www.tescoentertainment.com/store/artist/ub40/p%3A4925/,410,,2/8/12,Not found
http://www.tescoentertainment.com/store/artist/eliza-doolittle/p%3A208869/,410,,2/16/12,Not found
http://www.tescoentertainment.com/tesco/8628690.product,404,,1/14/12,Not found
http://www.tescoentertainment.com/store/artist/ndubz/p%3A797772/,410,,2/10/12,Not found
http://www.tescoentertainment.com/tesco/tesco/games/inspiration/great-games-for-1000.list,404,,1/17/12,Not found
http://www.tescoentertainment.com/store/games/microsoft-xbox-360-batman--arkham-city-(joker-steelbook-edition)-with-tesco-exclusive-jokers-carnival-challenge-map/8%3A779745/,404,,12/13/11,Not found
http://www.tescoentertainment.com/store/artist/miley-cyrus-(hannah-montana)/p%3A773249/,410,,3/5/12,Not found
http://www.tescoentertainment.com/store/artist/goldfrapp/p%3A406780/,410,,3/10/12,Not found
http://www.tescoentertainment.com/store/artist/david-bowie/p%3A3161/,410,,3/5/12,Not found
http://www.tescoentertainment.com/store/games/sony-playstation-3-battlefield-3--limited-edition/8:736651/,404,,12/24/11,Not found
http://www.tescoentertainment.com/store/games/personal-computer-battlefield-3--limited-edition/8:736650/,404,,12/13/11,Not found
http://www.tescoentertainment.com/tesco/9955577.product,404,,11/4/11,Not found
http://www.tescoentertainment.com/tesco/tesco/blu-ray/offers/blu-ray-bargains.list?sortOrder=price&sortReverse=false,404,,11/4/11,Not found
http://www.tescoentertainment.com/STORE/Browse/FilmTVDownloads/VDGenresTV/,404,,3/17/12,Not found
http://www.tescoentertainment.com/tesco/8621306.product,404,,1/14/12,Not found
http://www.tescoentertainment.com/tesco/9965886.product,404,,2/22/12,Not found
http://www.tescoentertainment.com/store/mp3/the-hoosiers-bumpy-ride/2%3A51656349/,404,,3/5/12,Not found
http://www.tescoentertainment.com/tesco/8619601.product,404,,2/17/12,Not found
http://www.tescoentertainment.com/tesco/9974871.product,404,,2/22/12,Not found
http://www.tescoentertainment.com/store/artist/nicole-scherzinger/p%3A446915/,410,,2/6/12,Not found
http://www.tescoentertainment.com/store/artist/nancy-sinatra/p%3A10807/,410,,2/8/12,Not found
http://www.tescoentertainment.com/store/blu-ray/star-wars--the-complete-saga-(special-edition)/8%3A733678/,404,,11/10/11,Not found
http://www.tescoentertainment.com/store/blu-ray/fast-and-the-furious-5-blu-ray/8%3A774050/,404,,11/17/11,Not found
http://www.tescoentertainment.com/store/artist/spandau-ballet/p%3A39517/,410,,3/5/12,Not found
http://www.tescoentertainment.com/store/artist/the-muppets/p%3A31919/,410,,3/8/12,Not found
http://www.tescoentertainment.com/tesco/9945879.product,404,,1/14/12,Not found
http://www.tescoentertainment.com/tesco/9980106.product,404,,2/26/12,Not found
http://www.tescoentertainment.com/store/Catalogue.tla/artist?albumPageNumber=6&ArtistId=p%3A38229,410,,3/2/12,Not found
http://www.tescoentertainment.com/store/Catalogue.tla/artist?albumPageNumber=5&ArtistId=p%3A38229,410,,3/2/12,Not found
http://www.tescoentertainment.com/store/Catalogue.tla/artist?albumPageNumber=2&ArtistId=p%3A38229,410,,3/2/12,Not found
http://www.tescoentertainment.com/store/artist/santana/p%3A10254/,410,,3/14/12,Not found
http://www.tescoentertainment.com/store/games/-lego-star-wars-iii-clone-wars/8%3A733598/,404,,12/6/11,Not found
http://www.tescoentertainment.com/store/dvd/merry-madagascar/8%3A661133/,404,,11/15/11,Not found
http://www.tescoentertainment.com/store/artist/bobby-womack/p%3A5042/,410,,2/8/12,Not found
http://www.tescoentertainment.com/store/artist/usherwilliam/p%3A35684/,404,,2/12/12,Not found
http://www.tescoentertainment.com/tesco/10027526.product,404,,12/26/11,Not found
http://www.tescoentertainment.com/tesco/9989662.product,404,,2/11/12,Not found
http://www.tescoentertainment.com/tesco/9973749.product,404,,12/31/11,Not found
http://www.tescoentertainment.com/tesco/8456420.product,404,,12/29/11,Not found
http://www.tescoentertainment.com/store/artist/alvin-%26-the-chipmunks/p%3A141461/,410,,3/5/12,Not found
http://www.tescoentertainment.com/store/artist/westlife/p%3A361712/,410,,3/2/12,Not found
http://www.tescoentertainment.com/store/artist/madness/p%3A4117/,410,,2/7/12,Not found
http://www.tescoentertainment.com/tesco/8434367.product,404,,1/31/12,Not found
http://www.tescoentertainment.com/store/artist/lmfao/p%3A1054330/,404,,2/14/12,Not found
http://www.tescoentertainment.com/store/artist/mike--the-mechanics/p%3A10283/,410,,3/18/12,Not found
http://www.tescoentertainment.com/store/artist/professor-green/p%3A1155558/,410,,2/12/12,Not found
http://www.tescoentertainment.com/store/games/-naughty-bear/8%3A692344/,404,,12/23/11,Not found
http://www.tescoentertainment.com/tesco/9965111.product,404,,2/6/12,Not found
http://www.tescoentertainment.com/store/games/-diva-girls--diva-ballerina/8%3A688658/,404,,11/11/11,Not found
http://www.tescoentertainment.com/store/artist/luther-vandross/p%3A4941/,410,,3/8/12,Not found
http://www.tescoentertainment.com/store/artist/michael-ball/p%3A137356/,410,,3/12/12,Not found
